Waveform ID,P-wave arrrival relative to trigger time (microsecond)
1,-0.7
2,0.7
3,-1.8
4,2.4
5,-0.4
6,0.4
7,-5.6
8,-10.1
9,-1.6
10,-4.8
11,-5.7
12,-5.7
13,3.7
14,6.7
15,0.6
16,6.1
17,-2.7
18,3.0
19,4.3
20,7.7
21,-10.3
22,-2.6
23,-2.6
24,-5.4
25,-6.6
26,-6.6
27,-3.5
28,-3.0
29,-3.8
30,-0.4
31,-3.8
32,-4.1
33,-1.1
34,-1.0
35,-2.2
36,-1.0
37,-1.0
38,-0.9
39,8.4
40,-8.6
41,3.2
42,3.0
43,0.3
44,-1.8
45,1.8
46,-3.7
47,0.2
48,-3.6
49,-4.5
50,-4.3
51,-9.2
52,-4.1
53,-9.3
54,-5.1
55,-4.1
56,-1.3
57,-0.4
58,1.3
59,-2.4
60,3.0
61,-2.4
62,1.2
63,1.1
64,5.4
65,-6.3
66,1.5
67,-2.9
68,0.6
69,-3.1
70,6.6
71,0.1
72,-0.3
73,-3.8
74,-1.9
75,-1.3
76,-0.6
77,-3.3
78,0.6
79,-5.8
80,-2.1
81,-0.9
82,4.2
83,-2.6
84,3.3
85,4.8
86,0.9
87,4.8
88,-2.1
89,2.0
90,3.4
91,7.1
92,-8.9
93,15.1
94,5.9
95,1.1
96,-2.5
97,4.2
98,-1.4
99,4.3
100,2.4
101,-4.3
102,-1.6
103,-0.8
104,-4.7
105,-0.9
106,-4.8
107,-2.6
108,-0.8
109,2.7
110,-3.4
111,-3.4
112,3.5
113,-4.3
114,-5.6
115,2.6
116,-2.4
117,5.8
118,1.1
119,7.6
120,-16.1
121,-3.7
122,-5.4
123,-7.6
124,-9.8
125,-11.9
126,-11.1
127,-3.1
128,0.3
129,2.2
130,-1.3
131,2.8
132,-4.2
133,-0.5
134,0.7
135,5.6
136,-2.7
137,0.1
138,-2.5
139,0.3
140,-4.4
141,-0.8
142,0.7
143,0.3
144,5.5
145,-3.6
146,2.1
147,1.1
148,4.6
149,2.6
150,2.7
151,6.2
152,-3.0
153,6.9
154,2.6
155,-2.6
156,6.0
157,2.3
158,6.1
159,3.5
160,6.6
161,-6.6
162,-6.1
163,-6.1
164,2.3
165,-2.2
166,-6.2
167,-2.5
168,1.5
169,-2.0
170,-1.8
171,-0.8
172,-5.0
173,0.0
174,-6.5
175,-3.1
176,-1.3
177,3.3
178,-5.3
179,-1.1
180,-0.3
181,-4.5
182,0.5
183,-5.9
184,-2.0
185,-0.7
186,1.9
187,1.0
188,3.6
189,-2.1
190,3.3
191,-1.3
192,2.0
193,1.9
194,7.3
195,-6.6
196,6.3
197,4.3
198,2.4
199,0.2
200,2.7
201,-2.4
202,1.6
203,-2.6
